SampleID	nsample	group	individual	year	month_year	tag	sex	season	individual_month	age_months
197_Tha_0618_18S	197_221_274	A	Thassos	2018	06_Jun18	TATI_a_1563	M	dry	Thassos_06_Jun18	19.23902439
198_Lef_0618_18S	198_223_273	A	Lefkada	2018	06_Jun18	TATI_a_1478	F	dry	Lefkada_06_Jun18	54.58119658
199_Par_0618_18S	199_224_277	A	Paros	2018	06_Jun18	TATI_a_1531	M	dry	Paros_06_Jun18	68
200_Luz_0618_18S	200_225_276	A	Luzon	2018	06_Jun18	TATI_a_1487	M	dry	Luzon_06_Jun18	188
201_Isa_0618_18S	201_222_275	A	Isabella	2018	06_Jun18	TATI_a_1394	F	dry	Isabella_06_Jun18	68
202_Mon_0618_18S	202_229_259	J	Mongolei	2018	06_Jun18	TATI_a_1497	M	dry	Mongolei_06_Jun18	31.4173913
203_Cam_0618_18S	203_226_258	J	Cambodia	2018	06_Jun18	TATI_a_1376	F	dry	Cambodia_06_Jun18	200.2292994
204_Col_0618_18S	204_257	J	Colanta	2018	06_Jun18	TATI_a_1385	F	dry	Colanta_06_Jun18	104
206_Arm_0618_18S	206_263	J	Armenia	2018	06_Jun18	TATI_a_1336	F	dry	Armenia_06_Jun18	8
207_Bah_0618_18S	207_256	J	Bahrain	2018	06_Jun18	TATI_a_1345	M	dry	Bahrain_06_Jun18	8
208_Taj_0618_18S	208	J	Taji	2018	06_Jun18	TATI_a_16	M	dry	Taji_06_Jun18	56
209_Syr_0618_18S	209_228_262	J	Syria	2018	06_Jun18	TATI_a_1544	F	dry	Syria_06_Jun18	56
210_Pak_0618_18S	210_231_266	J	Pakistan	2018	06_Jun18	TATI_a_1521	M	dry	Pakistan_06_Jun18	152
211_Kas_0618_18S	211_227_265	J	Kasachstan	2018	06_Jun18	TATI_a_1411	M	dry	Kasachstan_06_Jun18	20.33684211
212_Kuw_0618_18S	212_261	J	Kuwait	2018	06_Jun18	TATI_a_1423	M	dry	Kuwait_06_Jun18	43
213_Tor_0618_18S	213	F	Tortuga	2018	06_Jun18	TATI-a-398	F	dry	Tortuga_06_Jun18	31.90710383
214_May_0618_18S	214	F	Mayaguana	2018	06_Jun18	TATI-a-399	F	dry	Mayaguana_06_Jun18	68
215_Pin_0618_18S	215	F	Pinos	2018	06_Jun18	TATI-a-400	M	dry	Pinos_06_Jun18	32
216_Luc_0618_18S	216	F	Lucia	2018	06_Jun18	TATI-a-401	F	dry	Lucia_06_Jun18	224.640553
217_Bon_0618_18S	217	F	Bonacca	2018	06_Jun18	TATI-a-402	F	dry	Bonacca_06_Jun18	8.233333333
218_Tor_0618_18S	218	F	Tortuga	2018	06_Jun18	TATI-a-403	F	dry	Tortuga_06_Jun18	31.90710383
219_Cai_0618_18S	219	F	Caicos	2018	06_Jun18	TATI-a-404	M	dry	Caicos_06_Jun18	44
220_Goz_0618_18S	220	F	Gozo	2018	06_Jun18	TATI-a-405	M	dry	Gozo_06_Jun18	104
229_Mon_0618_18S	229	J	Mongolei	2018	06_Jun18	TATI_a_17	M	dry	Mongolei_06_Jun18	31.4173913
238_Lat_0618_18S	238_251	B	Latalata	2018	06_Jun18	TATI_a_1432	F	dry	Latalata_06_Jun18	8
242_Bon_0618_18S	242	F	Bonacca	2018	06_Jun18	TATI-a-406	F	dry	Bonacca_06_Jun18	8.233333333
243_Tor_0618_18S	243	F	Tortuga	2018	06_Jun18	TATI-a-407	F	dry	Tortuga_06_Jun18	31.90710383
244_Cai_0618_18S	244	F	Caicos	2018	06_Jun18	TATI-a-408	M	dry	Caicos_06_Jun18	44
245_Luc_0618_18S	245	F	Lucia	2018	06_Jun18	TATI-a-409	F	dry	Lucia_06_Jun18	224.640553
246_May_0618_18S	246	F	Mayaguana	2018	06_Jun18	TATI-a-410	F	dry	Mayaguana_06_Jun18	68
247_Pin_0618_18S	247	F	Pinos	2018	06_Jun18	TATI-a-411	M	dry	Pinos_06_Jun18	32
260_Taj_0618_18S	208_260	J	Taji	2018	06_Jun18	TATI_a_1554	M	dry	Taji_06_Jun18	56
