ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
1	M151	151	9	7	2018	Adonara	B	1824	0.506666667
2	P118	118	25	7	2018	Bangladesh	B	1863	0.5175
2	M152	152	10	7	2018	Bangladesh	B	1816	0.504444444
2	P119	119	25	7	2018	Bora	B	1846	0.512777778
1	Ti48	48	13	6	2018	Kasachstan	J	1866	0.518333333
2	Ti57	57	19	6	2018	Kasachstan	J	1833	0.509166667
3	A85	85	1	10	2018	Kasachstan	J	1798	0.499444444
2	M153	153	10	7	2018	Buru	B	1814	0.503888889
2	Ta176	176	25	8	2018	Kasachstan	J	1800	0.5
3	A24	24	11	9	2018	Kasachstan	J	1814	0.503888889
2	P120	120	26	7	2018	Aloha	B	1846	0.512777778
1	Ti26	26	3	5	2018	Kasachstan	J	1965	0.545833333
2	M154	154	10	7	2018	Latalata	B	1816	0.504444444
2	M155	155	10	7	2018	Tilos	B	1810	0.502777778
2	M156	156	10	7	2018	Jaco	B	1830	0.508333333
2	P121	121	26	7	2018	Jaco	B	1857	0.515833333
2	P122	122	26	7	2018	Tilos	B	1902	0.528333333
3	J32	32	21	9	2018	Kasachstan	J	1856	0.515555556
1	M157	157	10	7	2018	Adonara	B	1810	0.502777778
2	M158	158	10	7	2018	Afganistan	J	1824	0.506666667
2	P123	123	26	7	2018	Oman	B	1850	0.513888889
2	M159	159	10	7	2018	Taji	J	1808	0.502222222
1	Ta15	15	11	5	2018	Kasachstan	J	1817	0.504722222
2	Ta48	48	1	6	2018	Kasachstan	J	1791	0.4975
3	Ta138	138	31	7	2018	Kasachstan	J	1807	0.501944444
4	A51	51	18	9	2018	Kasachstan	J	1806	0.501666667
1	Ta38	38	23	5	2018	Kasachstan	J	1834	0.509444444
2	Ta127	127	25	7	2018	Kasachstan	J	1830	0.508333333
3	J10	10	8	9	2018	Kasachstan	J	1789	0.496944444
4	Ti243	243	5	11	2018	Kasachstan	J	1807	0.501944444
2	M160	160	10	7	2018	Pakistan	J	1801	0.500277778
2	M161	161	10	7	2018	Kuwait	J	1811	0.503055556
1	Ti46	46	13	6	2018	Kuwait	J	1835	0.509722222
2	M162	162	11	7	2018	Isabella	A	1831	0.508611111
3	A82	82	1	10	2018	Kuwait	J	1821	0.505833333
2	 M163	163	11	7	2018	Paros	A	1821	0.505833333
2	Ta114	114	16	7	2018	Kuwait	J	1857	0.515833333
3	Ti117	117	19	9	2018	Kuwait	J	1807	0.501944444
2	M164	164	11	7	2018	Lefkada	A	1814	0.503888889
2	P124	124	26	7	2018	Buru	B	1864	0.517777778
2	P125	125	26	7	2018	Bora	B	1858	0.516111111
4	Ti193	193	31	10	2018	Kuwait	J	1819	0.505277778
2	M165	165	11	7	2018	Thassos	A	1803	0.500833333
2	M166	166	12	7	2018	Thassos	A	1815	0.504166667
3	Ti160	160	24	9	2018	Kuwait	J	1832	0.508888889
2	M167	167	12	7	2018	Paros	A	1811	0.503055556
1	L6	6	23	5	2018	Kuwait	J	1823	0.506388889
2	M168	168	12	7	2018	Lefkada	A	1810	0.502777778
2	M169	169	12	7	2018	Isabella	A	1832	0.508888889
2	M170	170	31	7	2018	Jaco	B	1821	0.505833333
2	M171	171	31	7	2018	Bora	B	1864	0.517777778
